UID,Combined Key,Study Identifier,Is Target Cell,Is Naturally Occuring,Object Index,Size,Area,Length,Width,Perimeter,Circularity,"Mean[Stitched[Tsf[:DAPI 377,447]]]","Mean[Stitched[Tsf[:GFP 469,525]]]","Mean[Stitched[Tsf[:CY5 628,685]]]","Peak[Stitched[Tsf[:DAPI 377,447]]]","Peak_2[Stitched[Tsf[:GFP 469,525]]]","Peak_2[Stitched[Tsf[:CY5 628,685]]]","Integral[Stitched[Tsf[:DAPI 377,447]]]","Integral_2[Stitched[Tsf[:GFP 469,525]]]","Integral_2[Stitched[Tsf[:CY5 628,685]]]","Mask Size_2[Stitched[Tsf[:GFP 469,525]]]","Mask Size_2[Stitched[Tsf[:CY5 628,685]]]","Mean_2[Stitched[Tsf[:GFP 469,525]]]","Mean_2[Stitched[Tsf[:CY5 628,685]]]",Mean[Stitched[Tsf[:Bright Field]]],Integral[Stitched[Tsf[:Bright Field]]],X Center Microns,Y Center Microns,ratio,"Peak[Stitched[Tsf[:GFP 469,525]]]","Peak[Stitched[Tsf[:CY5 628,685]]]",X Center Pixels,Y Center Pixels
64122,1A11139191204170421,191204_170421,1,0,1139,24.2,459,25.2,23.2,81.9,0.844,45516,10685,3274,63368,27083,16360,7692190,4561798,263217,41.2,10.4,9584,9076,34876,5894000,13985.5,3439.5,3.26,27083,16360,8486.986614,2087.250839
64123,1A11140191204170421,191204_170421,1,0,1140,12.3,103,16.9,7.8,40.7,0.214,20706,8553,5248,30901,13188,8802,786840,1931787,112101,29.9,8.2,7546,7006,13259,503840,16277.9,3433.9,1.63,13188,8802,9878.110858,2083.852495
64124,1A11141191204170421,191204_170421,1,0,1141,14.7,76,25.6,3.8,50.2,0.0217,21966,13190,518,33785,19741,0,615035,1288305,0,28.1,0,7404,0,22109,619040,7640.4,3443.6,25.5,19741,1294,4636.514427,2089.738913
64125,1A11142191204170421,191204_170421,1,0,1142,10.9,92.3,11.5,10.3,35.1,0.804,36354,7832,2485,63601,14069,0,1236025,1923259,0,28.2,0,8473,0,28519,969648,13653.4,3440.2,3.15,12180,6662,8285.454437,2087.675632
64126,1A11143191204170421,191204_170421,1,0,1143,13.2,136,14.5,12,42.1,0.685,38212,19496,5380,63625,26637,10100,1910595,3433997,257066,32.3,11,11447,7345,43888,2194384,11036.5,3443,3.62,26637,10100,6697.410015,2089.374804
64127,1A11144191204170421,191204_170421,1,0,1144,19.2,285,21.7,16.7,76.7,0.594,30676,28252,13378,63283,57151,26453,3220970,5506746,3074423,31.2,30.2,21180,12704,15410,1618080,14660.8,3458.5,2.11,57151,26453,8896.786911,2098.780935
64128,1A11145191204170421,191204_170421,1,0,1145,34.1,630,53,15.1,122.4,0.0815,37960,18459,9792,62894,40302,23001,8806690,5702857,2147029,41.3,31.6,13643,11862,11017,2555840,17619,3468.5,1.89,40302,23001,10691.94646,2104.849407
64129,1A11146191204170421,191204_170421,1,0,1146,14.9,157,19.4,10.3,49.1,0.284,33449,7792,5846,63389,17880,9604,1940058,877635,498082,20.9,17.1,7021,6469,28998,1681888,15978.4,3469.8,1.33,17880,9604,9696.361725,2105.638308
64130,1A11147191204170421,191204_170421,1,0,1147,16,174,22,10.1,54.3,0.209,22363,9521,6151,42378,18905,12501,1431258,2588944,276709,32.2,11.9,8688,7906,13272,849376,20554.2,3467.2,1.55,18905,12501,12473.14864,2104.060506
64131,1A11148191204170421,191204_170421,1,0,1148,23.9,445,25.7,22.1,80.5,0.738,45716,9741,4296,63337,17295,13058,7497353,4265620,473100,39.2,14.8,9739,8300,42966,7046416,13331.7,3474.7,2.27,17295,13058,8090.233416,2108.611859
64132,1A11149191204170421,191204_170421,1,0,1149,10.7,89.6,11.8,9.7,33.2,0.673,36906,9644,2470,63054,20666,0,1217902,1025478,0,21.5,0,8012,0,43466,1434384,14647.8,3468,3.9,20666,5640,8888.897967,2104.545983
64133,1A11150191204170421,191204_170421,1,0,1150,12.9,119,16.7,9.1,42.1,0.297,16044,56935,3413,23290,57479,0,705916,5436668,0,26.6,0,27597,0,43643,1920272,13093.1,3472.6,16.7,57479,5063,7945.440952,2107.33748
64134,1A11151191204170421,191204_170421,1,0,1151,22.6,266,35.6,9.5,84.6,0.0714,28645,14523,6937,58313,57815,16115,2807164,2969037,616011,32.8,20.1,10133,8800,13564,1329264,20564,3488.2,2.09,57815,16115,12479.09569,2116.804296
64135,1A11152191204170421,191204_170421,1,0,1152,11.5,70.6,18.1,5,40.7,0.076,11437,27650,13402,15107,36813,19942,297367,2309105,1022683,21.1,18,18326,11238,7928,206128,14659.8,3484.5,2.06,35317,19942,8896.180069,2114.558962
64136,1A11153191204170421,191204_170421,1,0,1153,10.6,84.2,12.8,8.4,34.2,0.428,15664,13615,31637,22174,18108,63331,485599,2436723,1316409,31.1,15,8734,20569,9569,296624,9392.1,3483.4,0.43,18108,63331,5699.519286,2113.89143
64137,1A11154191204170421,191204_170421,1,0,1154,12.2,114,14.1,10.3,39.8,0.535,33186,9333,5051,63364,23573,9771,1393829,2241076,197220,30.7,10.8,8331,6574,33773,1418480,7095.1,3485.3,1.85,23573,9771,4305.60357,2115.044439
64138,1A11155191204170421,191204_170421,1,0,1155,25.1,323,39.8,10.3,88.3,0.0673,37056,23381,5224,63607,49572,12681,4409700,4021366,443213,37.9,18.2,12567,7915,22719,2703616,5019.8,3504.1,4.48,49572,12681,3046.22469,2126.453166
